Name,From,Experience,Season,Salary,Age,Pos,G,MP,ThreePoint,TwoPoint,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,To,Height,Weight,College
Tony Allen,2005,2,2006-07,1037280,25,SG,33,805,8,125,105,134,35,89,124,56,49,12,75,87,2016,6.4,213,Oklahoma State University
Tony Allen,2005,3,2007-08,1868141,26,SG,75,1373,18,151,138,181,34,134,168,114,62,21,109,168,2016,6.4,213,Oklahoma State University
Tony Allen,2005,4,2008-09,2500000,27,SG,46,887,6,131,79,109,22,82,104,66,54,23,77,98,2016,6.4,213,Oklahoma State University
Tony Allen,2005,5,2009-10,2500000,28,SG,54,889,0,129,72,119,52,93,145,72,59,19,66,109,2016,6.4,213,Oklahoma State University
Tony Allen,2005,6,2010-11,3000000,29,SG,72,1494,4,247,137,182,70,123,193,104,129,44,86,161,2016,6.4,213,Oklahoma State University
Tony Allen,2005,7,2011-12,3150000,30,SG,58,1525,8,202,140,175,98,135,233,79,104,33,94,142,2016,6.4,213,Oklahoma State University
Tony Allen,2005,8,2012-13,3300000,31,SG,79,2109,3,281,134,187,121,242,363,98,119,44,94,211,2016,6.4,213,Oklahoma State University
Tony Allen,2005,9,2013-14,4494382,32,SG,55,1278,11,193,76,121,79,129,208,94,90,19,90,121,2016,6.4,213,Oklahoma State University
Tony Allen,2005,10,2014-15,4831461,33,SG,63,1648,10,215,79,126,103,177,280,86,129,30,86,166,2016,6.4,213,Oklahoma State University
Tony Allen,2005,11,2015-16,5168539,34,SF,46,1138,11,112,48,81,73,148,221,42,73,12,43,130,2016,6.4,213,Oklahoma State University
Chris Andersen,2002,7,2008-09,998398,30,C,71,1460,2,158,130,181,163,279,442,31,41,175,69,174,2016,6.1,245,Blinn College
Chris Andersen,2002,8,2009-10,3650000,31,PF,76,1695,0,142,164,236,147,336,483,33,42,143,59,171,2016,6.1,245,Blinn College
Chris Andersen,2002,9,2010-11,4533300,32,C,45,732,0,82,86,135,75,144,219,20,23,58,25,79,2016,6.1,245,Blinn College
Chris Andersen,2002,10,2011-12,4234000,33,C,32,486,0,108,82,0.61,100,148,6,19,46,17,52,168,2016,6.1,245,Blinn College
Chris Andersen,2002,11,2012-13,4526000,34,C,42,624,2,69,63,93,57,115,172,17,16,44,24,89,2016,6.1,245,Blinn College
Chris Andersen,2002,12,2013-14,1399507,35,C,72,1396,3,174,120,169,129,250,379,19,32,97,53,162,2016,6.1,245,Blinn College
Chris Andersen,2002,13,2014-15,5375000,36,C,60,1132,4,116,76,114,76,223,299,43,26,61,40,88,2016,6.1,245,Blinn College
Chris Andersen,2002,14,2015-16,5000000,37,C,7,36,2,2,3,4,3,6,9,3,1,3,2,4,2016,6.1,245,Blinn College
Carmelo Anthony,2004,3,2006-07,4694041,22,SF,65,2486,40,651,459,568,143,248,391,249,77,23,234,203,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,4,2007-08,13041250,23,SF,77,2806,58,670,464,590,178,393,571,259,98,39,253,253,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,5,2008-09,14410581,24,SF,66,2277,63,472,371,468,106,344,450,222,75,24,199,195,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,6,2009-10,15779912,25,SF,69,2634,59,629,508,612,152,302,454,222,88,30,209,225,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,7,2010-11,17149243,26,SF,50,1774,42,395,343,417,77,305,382,140,43,31,142,134,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,8,2011-12,18518574,27,SF,55,1876,68,373,295,367,88,256,344,200,62,24,144,156,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,9,2012-13,19450000,28,PF,67,2482,157,512,425,512,134,326,460,171,52,32,175,205,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,10,2013-14,22407474,29,PF,77,2982,167,576,459,541,145,477,622,242,95,51,198,224,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,11,2014-15,22458000,30,SF,40,1428,61,297,189,237,72,192,264,122,40,17,89,87,2016,6.8,240,Syracuse University
Carmelo Anthony,2004,12,2015-16,22875000,31,SF,48,1670,64,296,242,295,68,310,378,200,43,24,122,120,2016,6.8,240,Syracuse University
Trevor Ariza,2005,2,2006-07,3100000,21,SG,57,1278,0,200,106,171,98,151,249,65,59,19,84,134,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,3,2007-08,3100000,22,SF,35,546,5,64,49,75,30,78,108,44,31,11,23,45,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,4,2008-09,3100000,23,SF,82,1999,61,213,120,169,111,241,352,145,137,24,87,166,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,5,2009-10,5854000,24,SF,72,2629,136,258,148,228,78,325,403,276,126,40,161,162,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,6,2010-11,6322320,25,SF,75,2600,82,221,138,197,61,347,408,162,120,31,118,180,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,7,2011-12,6790640,26,SF,41,1350,29,139,79,102,41,174,215,135,69,25,76,73,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,8,2012-13,7258960,27,SF,56,1471,76,112,78,95,44,222,266,113,72,20,84,72,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,9,2013-14,7727280,28,SF,77,2723,180,209,149,193,99,376,475,191,126,20,132,179,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,10,2014-15,8579089,29,SF,82,2930,194,172,122,143,77,382,459,209,152,17,141,186,2016,6.8,215,University of California  Los Angeles
Trevor Ariza,2005,11,2015-16,8193030,30,SF,54,1873,123,110,74,102,43,207,250,104,104,14,77,116,2016,6.8,215,University of California  Los Angeles
Leandro Barbosa,2004,3,2006-07,1679733,24,SG,80,2613,190,339,196,232,22,192,214,317,96,15,146,210,2016,6.3,194,
Leandro Barbosa,2004,4,2007-08,5600000,25,SG,82,2421,164,308,175,213,40,191,231,216,75,18,117,195,2016,6.3,194,
Leandro Barbosa,2004,5,2008-09,6100000,26,SG,70,1705,90,276,171,194,34,147,181,162,82,7,93,115,2016,6.3,194,
Leandro Barbosa,2004,6,2009-10,6600000,27,PG,44,786,44,111,64,73,11,58,69,64,23,12,46,71,2016,6.3,194,
Leandro Barbosa,2004,7,2010-11,7100000,28,SG,58,1395,72,222,109,137,14,85,99,119,50,6,84,112,2016,6.3,194,
Leandro Barbosa,2004,8,2011-12,7600000,29,SG,64,1382,65,206,101,124,33,95,128,96,56,7,94,135,2016,6.3,194,
Leandro Barbosa,2004,9,2012-13,1229255,30,PG,41,513,18,65,31,41,8,38,46,58,17,6,21,51,2016,6.3,194,
Leandro Barbosa,2004,11,2014-15,1448490,32,SG,66,982,43,140,58,74,23,68,91,99,41,8,44,87,2016,6.3,194,
Leandro Barbosa,2004,12,2015-16,2500000,33,SG,39,582,23,79,30,36,15,46,61,55,29,6,34,62,2016,6.3,194,
Matt Barnes,2004,3,2006-07,771331,26,PF,76,1813,106,169,90,123,91,259,350,156,73,41,105,188,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,4,2007-08,3000000,27,PF,73,1414,53,134,59,79,94,230,324,139,48,36,85,159,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,5,2008-09,926678,28,PF,77,2082,117,168,101,136,79,342,421,212,52,26,130,209,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,6,2009-10,1600000,29,SF,81,2097,66,205,108,146,106,339,445,134,59,30,112,185,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,7,2010-11,1765000,30,SF,53,1020,34,97,60,77,73,155,228,71,39,22,58,127,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,8,2011-12,1906200,31,SF,63,1440,46,129,95,128,97,247,344,126,35,48,73,152,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,9,2012-13,1229255,32,SF,80,2058,111,201,87,117,111,255,366,123,82,63,90,233,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,10,2013-14,3250000,33,SF,63,1735,97,134,66,90,60,232,292,125,56,28,85,185,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,11,2014-15,3396250,34,SF,76,2271,136,141,74,95,51,251,302,114,67,50,87,240,2016,6.7,226,University of California  Los Angeles
Matt Barnes,2004,12,2015-16,3542500,35,SF,49,1287,72,81,53,65,49,199,248,86,55,37,62,153,2016,6.7,226,University of California  Los Angeles
Brandon Bass,2006,1,2006-07,664209,21,PF,21,162,0,15,12,16,13,30,43,3,2,3,10,16,2016,6.8,250,Louisiana State University
Brandon Bass,2006,2,2007-08,770610,22,C,79,1557,0,246,162,197,120,227,347,58,22,48,82,150,2016,6.8,250,Louisiana State University
Brandon Bass,2006,3,2008-09,826269,23,C,81,1574,0,252,182,210,129,238,367,43,27,55,86,140,2016,6.8,250,Louisiana State University
Brandon Bass,2006,4,2009-10,4000000,24,PF,50,648,0,233,63,0.825,73,127,19,12,27,31,69,290,2016,6.8,250,Louisiana State University
Brandon Bass,2006,5,2010-11,4000000,25,PF,76,1980,0,332,190,233,134,290,424,57,27,52,97,159,2016,6.8,250,Louisiana State University
Brandon Bass,2006,6,2011-12,4250000,26,PF,59,1868,0,632,163,0.81,270,365,55,34,54,65,135,738,2016,6.8,250,Louisiana State University
Brandon Bass,2006,7,2012-13,6000000,27,PF,81,2239,0,286,129,150,129,296,425,84,44,64,80,188,2016,6.8,250,Louisiana State University
Brandon Bass,2006,8,2013-14,6450000,28,PF,82,2266,2,350,205,239,161,309,470,87,36,71,102,190,2016,6.8,250,Louisiana State University
Brandon Bass,2006,9,2014-15,6900000,29,PF,82,1929,9,335,169,214,139,259,398,104,41,32,83,140,2016,6.8,250,Louisiana State University
Brandon Bass,2006,10,2015-16,3000000,30,PF,47,900,0,111,71,84,74,124,198,56,24,39,28,87,2016,6.8,250,Louisiana State University
Steve Blake,2004,3,2006-07,1330000,26,PG,82,2225,67,142,43,64,21,148,169,408,61,8,129,121,2016,6.3,172,University of Maryland
Steve Blake,2004,4,2007-08,4250000,27,PG,81,2424,121,140,49,64,31,164,195,413,55,4,113,133,2016,6.3,172,University of Maryland
Steve Blake,2004,5,2008-09,4250000,28,PG,69,2188,140,137,63,75,28,145,173,348,69,4,108,126,2016,6.3,172,University of Maryland
Steve Blake,2004,6,2009-10,4930000,29,PG,80,2159,116,101,36,48,21,166,187,380,58,6,128,123,2016,6.3,172,University of Maryland
Steve Blake,2004,7,2010-11,4000000,30,PG,79,1581,73,37,26,30,19,137,156,170,40,3,73,99,2016,6.3,172,University of Maryland
Steve Blake,2004,8,2011-12,4000000,31,PG,53,1237,53,48,21,27,9,76,85,175,39,2,72,75,2016,6.3,172,University of Maryland
Steve Blake,2004,9,2012-13,4000000,32,PG,45,1175,72,42,27,35,21,111,132,173,34,6,62,83,2016,6.3,172,University of Maryland
Steve Blake,2004,10,2013-14,4000000,33,PG,55,1498,79,54,33,43,13,146,159,307,54,8,102,85,2016,6.3,172,University of Maryland
Steve Blake,2004,11,2014-15,2077000,34,PG,81,1529,77,45,29,41,16,121,137,288,41,5,104,118,2016,6.3,172,University of Maryland
Steve Blake,2004,12,2015-16,2170465,35,PG,30,468,29,20,5,7,6,39,45,87,14,3,42,33,2016,6.3,172,University of Maryland
Andrew Bogut,2006,1,2006-07,4665960,22,C,66,2258,1,347,112,194,168,416,584,198,49,35,150,216,2016,7,260,University of Utah
Andrew Bogut,2006,2,2007-08,4991520,23,C,78,2720,0,465,189,322,245,518,763,199,64,135,172,254,2016,7,260,University of Utah
Andrew Bogut,2006,3,2008-09,6294310,24,C,36,1124,0,317,98,0.571,252,369,72,23,37,86,130,422,2016,7,260,University of Utah
Andrew Bogut,2006,4,2009-10,10000000,25,C,69,2229,0,473,149,237,208,493,701,127,39,175,131,222,2016,7,260,University of Utah
Andrew Bogut,2006,5,2010-11,11000000,26,C,65,2297,0,367,96,217,199,521,720,131,47,168,125,217,2016,7,260,University of Utah
Andrew Bogut,2006,6,2011-12,12000000,27,C,12,364,0,61,14,23,22,78,100,31,12,24,24,36,2016,7,260,University of Utah
Andrew Bogut,2006,7,2012-13,13000000,28,C,32,786,1,82,19,38,68,177,245,67,20,55,35,85,2016,7,260,University of Utah
Andrew Bogut,2006,8,2013-14,14000000,29,C,67,1769,0,375,64,0.344,489,671,112,47,121,97,210,492,2016,7,260,University of Utah
Andrew Bogut,2006,9,2014-15,12972973,30,C,67,1583,0,355,42,0.524,402,543,180,39,113,106,188,422,2016,7,260,University of Utah
Andrew Bogut,2006,10,2015-16,12000000,31,C,45,940,0,187,37,0.405,256,338,95,18,77,51,140,245,2016,7,260,University of Utah
Matt Bonner,2005,2,2006-07,2000000,26,PF,56,653,36,70,27,38,64,92,156,22,17,11,25,67,2016,6.1,235,University of Florida
Matt Bonner,2005,3,2007-08,2678000,27,PF,68,853,46,75,38,44,53,139,192,32,14,17,39,111,2016,6.1,235,University of Florida
Matt Bonner,2005,4,2008-09,2987000,28,PF,81,1928,118,148,17,23,97,289,386,82,47,26,37,190,2016,6.1,235,University of Florida
Matt Bonner,2005,5,2009-10,3240380,29,PF,65,1161,90,76,35,48,52,162,214,68,30,24,39,109,2016,6.1,235,University of Florida
Matt Bonner,2005,6,2010-11,3000000,30,PF,66,1432,105,67,32,43,60,179,239,60,26,21,27,110,2016,6.1,235,University of Florida
Matt Bonner,2005,7,2011-12,3315000,31,PF,65,1326,105,49,16,21,29,185,214,61,15,21,14,68,2016,6.1,235,University of Florida
Matt Bonner,2005,8,2012-13,3630000,32,PF,68,909,53,59,11,15,25,104,129,36,17,19,16,86,2016,6.1,235,University of Florida
Matt Bonner,2005,9,2013-14,3945000,33,PF,61,690,42,31,9,12,16,114,130,31,15,11,16,49,2016,6.1,235,University of Florida
Matt Bonner,2005,10,2014-15,1448490,34,PF,72,935,46,48,30,37,29,86,115,47,10,12,11,65,2016,6.1,235,University of Florida
Matt Bonner,2005,11,2015-16,1499187,35,C,20,114,9,8,3,4,3,15,18,6,5,0,2,7,2016,6.1,235,University of Florida
Chris Bosh,2004,3,2006-07,4235220,22,C,69,2658,12,531,463,590,186,555,741,175,39,90,179,163,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,4,2007-08,12455000,23,C,67,2425,10,497,472,559,174,409,583,171,63,67,153,157,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,5,2008-09,14410581,24,C,77,2928,12,603,504,617,215,556,771,191,67,77,174,189,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,6,2009-10,15779912,25,C,70,2526,8,592,470,590,205,554,759,166,43,68,169,170,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,7,2010-11,14500000,26,PF,77,2795,6,518,384,471,141,500,641,144,59,49,138,172,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,8,2011-12,16022500,27,PF,57,2007,10,383,229,279,94,358,452,103,51,45,117,128,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,9,2012-13,17545000,28,C,74,2454,21,464,241,302,131,370,501,123,66,101,128,168,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,10,2013-14,19067500,29,C,79,2531,74,418,223,272,98,424,522,87,80,78,125,192,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,11,2014-15,20644400,30,C,44,1556,63,280,179,232,46,264,310,95,41,25,95,69,2016,6.11,235,Georgia Institute of Technology
Chris Bosh,2004,12,2015-16,22192730,31,PF,53,1778,81,277,213,268,48,342,390,128,36,34,78,101,2016,6.11,235,Georgia Institute of Technology
Kobe Bryant,1997,10,2006-07,17718750,28,SG,77,3140,137,676,667,768,75,364,439,413,111,36,255,205,2016,6.6,212,
Kobe Bryant,1997,11,2007-08,19490625,29,SG,82,3192,150,625,623,742,94,423,517,441,151,40,257,227,2016,6.6,212,
Kobe Bryant,1997,12,2008-09,21262500,30,SG,82,2960,118,682,483,564,90,339,429,399,120,37,210,189,2016,6.6,212,
Kobe Bryant,1997,13,2009-10,23034375,31,SG,73,2835,99,617,439,541,78,313,391,365,113,20,233,187,2016,6.6,212,
Kobe Bryant,1997,14,2010-11,24806250,32,SG,82,2779,115,625,483,583,83,336,419,388,99,12,243,172,2016,6.6,212,
Kobe Bryant,1997,15,2011-12,25244493,33,SG,58,2232,87,487,381,451,66,247,313,264,69,18,204,105,2016,6.6,212,
Kobe Bryant,1997,16,2012-13,27849149,34,SG,78,3013,132,606,525,626,66,367,433,469,106,25,287,173,2016,6.6,212,
Kobe Bryant,1997,17,2013-14,30453805,35,SG,6,177,3,28,18,21,2,24,26,38,7,1,34,9,2016,6.6,212,
Kobe Bryant,1997,18,2014-15,23500000,36,SG,35,1207,54,212,196,241,26,173,199,197,47,7,128,65,2016,6.6,212,
Kobe Bryant,1997,19,2015-16,25000000,37,SF,45,1319,90,172,147,183,33,158,191,152,43,9,97,86,2016,6.6,212,
Caron Butler,2003,4,2006-07,7438000,26,SF,63,2474,18,433,283,328,147,320,467,233,134,17,181,188,2016,6.7,228,University of Connecticut
Caron Butler,2003,5,2007-08,8218990,27,SF,58,2314,66,373,236,262,93,295,388,284,128,20,150,160,2016,6.7,228,University of Connecticut
Caron Butler,2003,6,2008-09,9249980,28,SG,67,2585,65,426,345,402,118,296,414,290,106,20,210,165,2016,6.7,228,University of Connecticut
Caron Butler,2003,7,2009-10,9780970,29,SF-SG,74,2783,42,408,264,315,104,357,461,156,116,24,160,193,2016,6.7,228,University of Connecticut
Caron Butler,2003,8,2010-11,10561960,30,SF,29,867,28,142,68,88,22,96,118,46,28,8,49,59,2016,6.7,228,University of Connecticut
Caron Butler,2003,9,2011-12,8000000,31,SF,63,1871,92,195,87,107,44,186,230,78,52,9,77,123,2016,6.7,228,University of Connecticut
Caron Butler,2003,10,2012-13,8000000,32,SF,78,1879,128,177,75,90,41,182,223,78,51,11,72,139,2016,6.7,228,University of Connecticut
Caron Butler,2003,11,2013-14,8000000,33,SF,56,1419,98,115,63,75,21,208,229,82,47,17,60,120,2016,6.7,228,University of Connecticut
Caron Butler,2003,12,2014-15,4500000,34,SF,78,1623,83,78,55,61,21,175,196,79,43,4,49,120,2016,6.7,228,University of Connecticut
Caron Butler,2003,13,2015-16,1499187,35,SF,9,86,1,10,1,2,3,8,11,3,5,0,2,7,2016,6.7,228,University of Connecticut
Rasual Butler,2003,4,2006-07,3000000,27,SF,81,2223,134,180,56,87,42,214,256,63,40,54,67,148,2016,6.7,215,La Salle University
Rasual Butler,2003,5,2007-08,3315000,28,SF,51,875,44,47,26,31,16,84,100,36,15,21,10,66,2016,6.7,215,La Salle University
Rasual Butler,2003,6,2008-09,3630000,29,SF,82,2614,140,208,86,110,49,222,271,75,51,61,59,159,2016,6.7,215,La Salle University
Rasual Butler,2003,7,2009-10,3945000,30,SF,82,2702,145,211,122,145,39,201,240,116,36,68,79,121,2016,6.7,215,La Salle University
Rasual Butler,2003,8,2010-11,2400000,31,SG,47,770,46,33,18,27,10,67,77,27,8,15,24,37,2016,6.7,215,La Salle University
Rasual Butler,2003,9,2011-12,1229255,32,SF,34,453,21,20,7,12,6,60,66,19,7,5,15,39,2016,6.7,215,La Salle University
Rasual Butler,2003,12,2014-15,1448490,35,SF,75,1505,91,127,53,67,27,170,197,63,29,22,48,98,2016,6.7,215,La Salle University
Rasual Butler,2003,13,2015-16,1499187,36,SF,36,322,12,24,8,11,0,44,44,21,9,18,6,8,2016,6.7,215,La Salle University
Jose Calderon,2006,1,2006-07,2333334,25,PG,77,1614,25,238,117,143,21,113,134,387,63,5,110,136,2016,6.3,200,
Jose Calderon,2006,2,2007-08,2471604,26,PG,82,2484,79,288,109,120,34,202,236,678,87,6,126,134,2016,6.3,200,
Jose Calderon,2006,3,2008-09,7438018,27,PG,68,2333,82,238,151,154,16,178,194,607,74,7,143,114,2016,6.3,200,
Jose Calderon,2006,4,2009-10,8219009,28,PG,68,1817,68,206,83,104,23,119,142,404,47,7,99,135,2016,6.3,200,
Jose Calderon,2006,5,2010-11,9000000,29,PG,68,2102,57,205,88,103,30,172,202,605,81,7,148,143,2016,6.3,200,
Jose Calderon,2006,6,2011-12,9780992,30,PG,53,1799,59,159,60,68,19,141,160,468,47,3,104,94,2016,6.3,200,
Jose Calderon,2006,7,2012-13,11046591,31,PG,73,2160,130,182,72,80,20,156,176,518,58,8,126,99,2016,6.3,200,
Jose Calderon,2006,8,2013-14,6791570,32,PG,81,2468,191,150,52,63,29,163,192,377,69,11,103,136,2016,6.3,200,
Jose Calderon,2006,9,2014-15,7097191,33,PG,42,1270,59,88,29,32,19,105,124,198,31,0,75,76,2016,6.3,200,
Jose Calderon,2006,10,2015-16,7402812,34,PG,51,1410,59,87,29,33,17,141,158,208,49,5,60,89,2016,6.3,200,
Vince Carter,1999,8,2006-07,15101625,30,SG,82,3126,156,570,462,576,114,378,492,393,82,30,217,266,2016,6.6,220,University of North Carolina
Vince Carter,1999,9,2007-08,13320000,31,SG,76,2959,98,489,350,429,112,341,453,389,93,33,181,241,2016,6.6,220,University of North Carolina
Vince Carter,1999,10,2008-09,14724125,32,SG,80,2946,151,437,335,410,74,336,410,376,82,38,166,234,2016,6.6,220,University of North Carolina
Vince Carter,1999,11,2009-10,16300000,33,SG,75,2310,119,315,257,306,33,260,293,236,53,18,106,189,2016,6.6,220,University of North Carolina
