URL,Player,From,To,Pos,Ht,Wt,DOB,College
/players/a/acyqu01.html,Quincy Acy,2013,2016,F,6-7,240,October 6  1990,Baylor University
/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,6-5,209,July 8  1994,University of California  Los Angeles
/players/a/adamsst01.html,Steven Adams,2014,2016,C,7-0,255,July 20  1993,University of Pittsburgh
/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,6-7,245,February 10  1986,University of Connecticut
/players/a/afflaar01.html,Arron Afflalo,2008,2016,G,6-5,210,October 15  1985,University of California  Los Angeles
/players/a/ajincal01.html,Alexis Ajinca,2009,2016,C,7-2,248,May 6  1988,
/players/a/akognjo01.html,Josh Akognon,2013,2013,G,5-11,185,February 10  1986,California State University  Fullerton
/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,7-1,251,March 21  1988,Florida State University
/players/a/aldemfu01.html,Furkan Aldemir,2015,2015,F-C,6-10,240,August 9  1991,
/players/a/aldrico01.html,Cole Aldrich,2011,2016,C,6-11,250,October 31  1988,University of Kansas
/players/a/aldrila01.html,LaMarcus Aldridge,2007,2016,F,6-11,240,July 19  1985,University of Texas at Austin
/players/a/alexacl01.html,Cliff Alexander,2016,2016,F,6-8,240,November 16  1995,University of Kansas
/players/a/allenla01.html,Lavoy Allen,2012,2016,F-C,6-9,255,February 4  1989,Temple University
/players/a/allento01.html,Tony Allen,2005,2016,G-F,6-4,213,January 11  1982,Oklahoma State University
/players/a/aminual01.html,Al-Farouq Aminu,2011,2016,F,6-9,215,September 21  1990,Wake Forest University
/players/a/amundlo01.html,Lou Amundson,2007,2016,F,6-9,220,December 7  1982,University of Nevada  Las Vegas
/players/a/anderch01.html,Chris Andersen,2002,2016,F-C,6-10,245,July 7  1978,Blinn College
/players/a/anderal01.html,Alan Anderson,2006,2015,G-F,6-6,220,October 16  1982,Michigan State University
/players/a/anderja01.html,James Anderson,2011,2016,G-F,6-6,213,March 25  1989,Oklahoma State University
/players/a/anderju01.html,Justin Anderson,2016,2016,G,6-6,228,November 19  1993,University of Virginia
/players/a/anderky01.html,Kyle Anderson,2015,2016,G-F,6-9,230,September 20  1993,University of California  Los Angeles
/players/a/anderry01.html,Ryan Anderson,2009,2016,F,6-10,240,May 6  1988,University of California
/players/a/antetgi01.html,Giannis Antetokounmpo,2014,2016,F-G,6-11,222,December 6  1994,
/players/a/antetth01.html,Thanasis Antetokounmpo,2016,2016,F,6-7,205,July 17  1992,
/players/a/anthoca01.html,Carmelo Anthony,2004,2016,F,6-8,240,May 29  1984,Syracuse University
/players/a/anthojo01.html,Joel Anthony,2008,2016,C,6-9,245,August 9  1982,University of Nevada  Las Vegas
/players/a/anticpe01.html,Pero Antic,2014,2015,F,6-11,260,July 29  1982,
/players/a/applike01.html,Keith Appling,2016,2016,G,6-1,185,February 13  1992,Michigan State University
/players/a/arizatr01.html,Trevor Ariza,2005,2016,F,6-8,215,June 30  1985,University of California  Los Angeles
/players/a/armsthi01.html,Hilton Armstrong,2007,2014,F-C,6-11,235,November 11  1984,University of Connecticut
/players/a/arthuda01.html,Darrell Arthur,2009,2016,F,6-9,235,March 25  1988,University of Kansas
/players/a/asikom01.html,Omer Asik,2011,2016,C,7-0,255,July 4  1986,
/players/a/augusdj01.html,D.J. Augustin,2009,2016,G,6-0,183,November 10  1987,University of Texas at Austin
/players/a/ayongu01.html,Gustavo Ayon,2012,2014,C,6-10,250,April 1  1985,
/players/p/pendeje02.html,Jeff Ayres,2010,2016,F,6-9,240,April 29  1987,Arizona State University
/players/b/babbch01.html,Chris Babb,2014,2014,G,6-5,225,February 14  1990,Iowa State University
/players/b/babbilu01.html,Luke Babbitt,2011,2016,F,6-9,225,June 20  1989,University of Nevada  Reno
/players/b/bairsca01.html,Cameron Bairstow,2015,2016,F-C,6-9,250,December 7  1990,University of New Mexico
/players/b/balkmre01.html,Renaldo Balkman,2007,2012,F,6-8,208,July 14  1984,University of South Carolina
/players/b/barbole01.html,Leandro Barbosa,2004,2016,G,6-3,194,November 28  1982,
/players/b/bareajo01.html,J.J. Barea,2007,2016,G,6-0,185,June 26  1984,Northeastern University
/players/b/bargnan01.html,Andrea Bargnani,2007,2016,F-C,7-0,245,October 26  1985,
/players/b/barneha02.html,Harrison Barnes,2013,2016,F,6-8,210,May 30  1992,University of North Carolina
/players/b/barnema02.html,Matt Barnes,2004,2016,F,6-7,226,March 9  1980,University of California  Los Angeles
/players/b/barroea01.html,Earl Barron,2006,2015,C,7-0,250,August 14  1981,University of Memphis
/players/b/bartowi01.html,Will Barton,2013,2016,G,6-6,175,January 6  1991,University of Memphis
/players/b/bassbr01.html,Brandon Bass,2006,2016,F,6-8,250,April 30  1985,Louisiana State University
/players/b/batumni01.html,Nicolas Batum,2009,2016,F-G,6-8,200,December 14  1988,
/players/b/bayleje01.html,Jerryd Bayless,2009,2016,G,6-3,200,August 20  1988,University of Arizona
/players/b/baynear01.html,Aron Baynes,2013,2016,F-C,6-10,260,December 9  1986,Washington State University
/players/b/bazemke01.html,Kent Bazemore,2013,2016,G-F,6-5,201,July 1  1989,Old Dominion University
/players/b/bealbr01.html,Bradley Beal,2013,2016,G,6-5,207,June 28  1993,University of Florida
/players/b/beaslmi01.html,Michael Beasley,2009,2015,F,6-9,235,January 9  1989,Kansas State University
/players/b/beaubro01.html,Rodrigue Beaubois,2010,2013,G,6-0,170,February 24  1988,
/players/b/belinma01.html,Marco Belinelli,2008,2016,G-F,6-5,210,March 25  1986,
/players/b/benimje01.html,Jerrelle Benimon,2015,2015,F,6-8,245,August 1  1991,Towson University
/players/b/bennean01.html,Anthony Bennett,2014,2016,F,6-8,245,March 14  1993,University of Nevada  Las Vegas
/players/b/bensoke02.html,Keith Benson,2012,2012,C,6-11,240,August 13  1988,Oakland University
/players/b/beverpa01.html,Patrick Beverley,2013,2016,G,6-1,185,July 12  1988,University of Arkansas
/players/b/bhullsi01.html,Sim Bhullar,2015,2015,C,7-5,360,December 2  1992,New Mexico State University
/players/b/biedran01.html,Andris Biedrins,2005,2014,C,6-11,240,April 2  1986,
/players/b/biyombi01.html,Bismack Biyombo,2012,2016,C-F,6-9,245,August 28  1992,
/players/b/bjeline01.html,Nemanja Bjelica,2016,2016,F,6-10,240,May 9  1988,
/players/b/blackta01.html,Tarik Black,2015,2016,C-F,6-9,250,November 22  1991,University of Kansas
/players/b/blairde01.html,DeJuan Blair,2010,2016,F-C,6-7,270,April 22  1989,University of Pittsburgh
/players/b/blakest01.html,Steve Blake,2004,2016,G,6-3,172,February 26  1980,University of Maryland
/players/b/blatcan01.html,Andray Blatche,2006,2014,F,6-11,235,August 22  1986,
/players/b/bledser01.html,Eric Bledsoe,2011,2016,G,6-1,190,December 9  1989,University of Kentucky
/players/b/blueva01.html,Vander Blue,2014,2015,G,6-4,200,July 17  1992,Marquette University
/players/b/boganke01.html,Keith Bogans,2004,2014,G-F,6-5,215,May 12  1980,University of Kentucky
/players/b/bogdabo02.html,Bojan Bogdanovic,2015,2016,G-F,6-8,216,April 18  1989,
/players/b/bogutan01.html,Andrew Bogut,2006,2016,C,7-0,260,November 28  1984,University of Utah
/players/b/bonnema01.html,Matt Bonner,2005,2016,F,6-10,235,April 5  1980,University of Florida
/players/b/bookede01.html,Devin Booker,2016,2016,G,6-6,206,October 30  1996,University of Kentucky
/players/b/booketr01.html,Trevor Booker,2011,2016,F,6-8,228,November 25  1987,Clemson University
/players/b/boozeca01.html,Carlos Boozer,2003,2015,F-C,6-9,258,November 20  1981,Duke University
/players/b/boshch01.html,Chris Bosh,2004,2016,F-C,6-11,235,March 24  1984,Georgia Institute of Technology
/players/b/bradlav01.html,Avery Bradley,2011,2016,G,6-2,180,November 26  1990,University of Texas at Austin
/players/b/brandel01.html,Elton Brand,2000,2015,F,6-8,275,March 11  1979,Duke University
/players/b/breweco01.html,Corey Brewer,2008,2016,F-G,6-9,186,March 5  1986,University of Florida
/players/b/brewero02.html,Ronnie Brewer,2007,2014,G-F,6-7,220,March 20  1985,University of Arkansas
/players/b/brookaa01.html,Aaron Brooks,2008,2016,G,6-0,161,January 14  1985,University of Oregon
/players/b/brookma01.html,MarShon Brooks,2012,2014,G-F,6-5,200,January 26  1989,Providence College
/players/b/brownan02.html,Anthony Brown,2016,2016,F,6-7,210,October 10  1992,Stanford University
/players/b/brownja01.html,Jabari Brown,2015,2015,G,6-4,215,December 18  1992,University of Missouri
/players/b/brownlo01.html,Lorenzo Brown,2014,2016,G,6-5,189,August 26  1990,North Carolina State University
/players/b/brownma02.html,Markel Brown,2015,2016,G,6-3,190,January 29  1992,Oklahoma State University
/players/b/brownsh01.html,Shannon Brown,2007,2015,G,6-4,205,November 29  1985,Michigan State University
/players/b/bryanko01.html,Kobe Bryant,1997,2016,G-F,6-6,212,August 23  1978,
/players/b/budinch01.html,Chase Budinger,2010,2016,F,6-7,209,May 22  1988,University of Arizona
/players/b/bullore01.html,Reggie Bullock,2014,2016,G-F,6-7,205,March 16  1991,University of North Carolina
/players/b/burketr01.html,Trey Burke,2014,2016,G,6-1,191,November 12  1992,University of Michigan
/players/b/burksal01.html,Alec Burks,2012,2016,G,6-6,214,July 20  1991,University of Colorado
/players/b/butleca01.html,Caron Butler,2003,2016,F,6-7,228,March 13  1980,University of Connecticut
/players/b/butleji01.html,Jimmy Butler,2012,2016,G-F,6-7,220,September 14  1989,Marquette University
/players/b/butlera01.html,Rasual Butler,2003,2016,G-F,6-7,215,May 23  1979,La Salle University
/players/b/buyckdw01.html,Dwight Buycks,2014,2015,G,6-3,190,March 6  1989,Marquette University
/players/b/byarsde01.html,Derrick Byars,2012,2012,F,6-7,220,April 25  1984,Vanderbilt University
/players/b/bynuman01.html,Andrew Bynum,2006,2014,C,7-0,285,October 27  1987,
/players/b/bynumwi01.html,Will Bynum,2006,2015,G,6-0,185,January 4  1983,Georgia Institute of Technology
/players/c/cabocbr01.html,Bruno Caboclo,2015,2016,F,6-9,205,September 21  1995,
/players/c/calatni01.html,Nick Calathes,2014,2015,G,6-6,213,February 7  1989,University of Florida
/players/c/caldejo01.html,Jose Calderon,2006,2016,G,6-3,200,September 28  1981,
/players/c/caldwke01.html,Kentavious Caldwell-Pope,2014,2016,G,6-5,205,February 18  1993,University of Georgia
/players/c/canaais01.html,Isaiah Canaan,2014,2016,G,6-0,201,May 21  1991,Murray State University
/players/c/capelca01.html,Clint Capela,2015,2016,C,6-10,240,May 18  1994,
/players/c/carrode01.html,DeMarre Carroll,2010,2016,F,6-8,212,July 27  1986,University of Missouri
/players/c/cartevi01.html,Vince Carter,1999,2016,G-F,6-6,220,January 26  1977,University of North Carolina
/players/c/cartemi01.html,Michael Carter-Williams,2014,2016,G,6-6,190,October 10  1991,Syracuse University
/players/c/casspom01.html,Omri Casspi,2010,2016,F,6-9,225,June 22  1988,
/players/c/caulewi01.html,Willie Cauley-Stein,2016,2016,F-C,7-0,240,August 18  1993,University of Kentucky
/players/c/chalmma01.html,Mario Chalmers,2009,2016,G,6-2,190,May 19  1986,University of Kansas
/players/c/chandty01.html,Tyson Chandler,2002,2016,C,7-1,240,October 2  1982,
/players/c/chandwi01.html,Wilson Chandler,2008,2015,F,6-8,225,May 10  1987,DePaul University
/players/c/cherrwi01.html,Will Cherry,2015,2015,G,6-0,185,February 8  1991,University of Montana
/players/c/childjo01.html,Josh Childress,2005,2014,G-F,6-8,210,June 20  1983,Stanford University
/players/c/chrisdi01.html,Dionte Christmas,2014,2014,G,6-5,205,September 15  1986,Temple University
/players/c/chrispa01.html,Patrick Christopher,2015,2015,G-F,6-5,209,June 3  1988,University of California
/players/c/clarkea01.html,Earl Clark,2010,2015,F,6-10,225,January 17  1988,University of Louisville
/players/c/clarkia01.html,Ian Clark,2014,2016,G,6-3,175,March 7  1991,Belmont University
/players/c/clarkjo01.html,Jordan Clarkson,2015,2016,G,6-5,185,June 7  1992,University of Missouri
/players/c/clavevi01.html,Victor Claver,2013,2015,F,6-9,224,August 30  1988,
/players/c/coleno01.html,Norris Cole,2012,2016,G,6-2,175,October 13  1988,Cleveland State University
/players/c/collida01.html,Darren Collison,2010,2016,G,6-0,175,August 23  1987,University of California  Los Angeles
/players/c/collini01.html,Nick Collison,2005,2016,F,6-10,255,October 26  1980,University of Kansas
/players/c/conlemi01.html,Mike Conley,2008,2016,G,6-1,175,October 11  1987,Ohio State University
/players/c/connapa01.html,Pat Connaughton,2016,2016,G,6-5,206,January 6  1993,University of Notre Dame
/players/c/cookbr01.html,Brian Cook,2004,2012,F,6-9,234,December 4  1980,University of Illinois at Urbana-Champaign
/players/c/cookda02.html,Daequan Cook,2008,2013,G,6-5,205,April 28  1987,Ohio State University
/players/c/cooleja01.html,Jack Cooley,2015,2015,F,6-9,260,April 4  1991,University of Notre Dame
/players/c/copelch01.html,Chris Copeland,2013,2016,F,6-9,239,March 17  1984,University of Colorado
/players/c/cottobr01.html,Bryce Cotton,2015,2016,G,6-1,165,August 11  1992,Providence College
/players/c/cousima01.html,Marcus Cousin,2011,2011,C,6-11,245,December 18  1986,University of Houston
/players/c/couside01.html,DeMarcus Cousins,2011,2016,C-F,6-11,270,August 13  1990,University of Kentucky
/players/c/covinro01.html,Robert Covington,2014,2016,F,6-9,215,December 14  1990,Tennessee State University
/players/c/crabbal01.html,Allen Crabbe,2014,2016,G-F,6-6,210,April 9  1992,University of California
/players/c/crawfja01.html,Jamal Crawford,2001,2016,G,6-5,195,March 20  1980,University of Michigan
/players/c/crawfjo02.html,Jordan Crawford,2011,2014,G,6-4,195,October 23  1988,Xavier University
/players/c/crowdja01.html,Jae Crowder,2013,2016,F,6-6,235,July 6  1990,Marquette University
/players/c/cunnida01.html,Dante Cunningham,2010,2016,F,6-8,230,April 22  1987,Villanova University
/players/c/cunnija01.html,Jared Cunningham,2013,2016,G,6-4,195,May 22  1991,Oregon State University
/players/c/curryse01.html,Seth Curry,2014,2016,G,6-2,185,August 23  1990,Duke University
/players/c/curryst01.html,Stephen Curry,2010,2016,G,6-3,185,March 14  1988,Davidson College
/players/d/dalemsa01.html,Samuel Dalembert,2002,2015,C,6-11,255,May 10  1981,Seton Hall University
/players/d/danietr01.html,Troy Daniels,2014,2016,G,6-4,205,July 15  1991,Virginia Commonwealth University
/players/d/datomlu01.html,Luigi Datome,2014,2015,F,6-8,215,November 27  1987,
/players/d/daviebr01.html,Brandon Davies,2014,2015,F,6-10,240,July 25  1991,Brigham Young University
/players/d/davisan02.html,Anthony Davis,2013,2016,F-C,6-10,253,March 11  1993,University of Kentucky
/players/d/davised01.html,Ed Davis,2011,2016,F,6-10,240,June 5  1989,University of North Carolina
/players/d/davisgl01.html,Glen Davis,2008,2015,F,6-9,289,January 1  1986,Louisiana State University
/players/d/dawkian01.html,Andre Dawkins,2015,2015,G,6-5,215,September 19  1991,Duke University
/players/d/dawsobr01.html,Branden Dawson,2016,2016,F,6-6,225,February 1  1993,Michigan State University
/players/d/dawsoer01.html,Eric Dawson,2012,2012,F,6-9,250,July 7  1984,Midwestern State University
/players/d/dayeau01.html,Austin Daye,2010,2015,F,6-11,220,June 5  1988,Gonzaga University
/players/d/decolna01.html,Nando De Colo,2013,2014,G,6-5,200,June 23  1987,
/players/d/dedmode01.html,Dewayne Dedmon,2014,2016,C,7-0,245,August 12  1989,University of Southern California
/players/d/dejeabr01.html,Bryce Dejean-Jones,2016,2016,G,6-6,209,August 21  1992,Iowa State University
/players/d/dekkesa01.html,Sam Dekker,2016,2016,F,6-9,230,May 6  1994,University of Wisconsin
/players/d/delfica01.html,Carlos Delfino,2005,2013,G,6-6,230,August 29  1982,
/players/d/dellama01.html,Matthew Dellavedova,2014,2016,G,6-4,198,September 8  1990,Saint Mary's College of California
/players/d/denglu01.html,Luol Deng,2005,2016,F,6-9,220,April 16  1985,Duke University
/players/d/derozde01.html,DeMar DeRozan,2010,2016,G,6-7,220,August 7  1989,University of Southern California
/players/d/diawbo01.html,Boris Diaw,2004,2016,F-C,6-8,250,April 16  1982,
/players/d/diawaya01.html,Yakhouba Diawara,2007,2010,G-F,6-7,225,August 29  1982,Pepperdine University
/players/d/dienggo01.html,Gorgui Dieng,2014,2016,C,6-11,241,January 18  1990,University of Louisville
/players/d/dinwisp01.html,Spencer Dinwiddie,2015,2016,G,6-6,200,April 6  1993,University of Colorado
/players/d/dioguik01.html,Ike Diogu,2006,2012,F,6-8,250,September 11  1983,Arizona State University
/players/d/dorsejo01.html,Joey Dorsey,2009,2015,F,6-8,268,December 16  1983,University of Memphis
/players/d/douglto01.html,Toney Douglas,2010,2016,G,6-2,195,March 16  1986,Florida State University
/players/d/douglch01.html,Chris Douglas-Roberts,2009,2015,G,6-7,200,January 8  1987,University of Memphis
/players/d/dragigo01.html,Goran Dragic,2009,2016,G,6-3,190,May 6  1986,
/players/d/dragizo01.html,Zoran Dragic,2015,2015,G-F,6-5,200,June 22  1989,
/players/d/drewla02.html,Larry Drew,2015,2015,G,6-2,180,March 5  1990,University of California  Los Angeles
/players/d/drumman01.html,Andre Drummond,2013,2016,C,6-11,279,August 10  1993,University of Connecticut
/players/d/dudleja01.html,Jared Dudley,2008,2016,F-G,6-7,225,July 10  1985,Boston College
/players/d/duncati01.html,Tim Duncan,1998,2016,F-C,6-11,250,April 25  1976,Wake Forest University
/players/d/dunlemi02.html,Mike Dunleavy,2003,2016,F-G,6-9,230,September 15  1980,Duke University
/players/d/duranke01.html,Kevin Durant,2008,2016,F,6-9,240,September 29  1988,University of Texas at Austin
/players/e/earlycl01.html,Cleanthony Early,2015,2016,F,6-8,210,April 17  1991,Wichita State University
/players/e/ebankde01.html,Devin Ebanks,2011,2013,F,6-9,215,October 28  1989,West Virginia University
/players/e/eddieja01.html,Jarell Eddie,2016,2016,G-F,6-7,218,October 30  1991,Virginia Polytechnic Institute and State University
/players/e/edwarsh01.html,Shane Edwards,2014,2014,F,6-7,220,May 31  1987,University of Arkansas at Little Rock
/players/e/ellinwa01.html,Wayne Ellington,2010,2016,G,6-4,200,October 29  1987,University of North Carolina
/players/e/ellismo01.html,Monta Ellis,2006,2016,G,6-3,185,October 26  1985,
/players/e/elyme01.html,Melvin Ely,2003,2014,C,6-10,260,May 2  1978,California State University  Fresno
/players/e/engliki01.html,Kim English,2013,2013,G,6-6,200,September 24  1988,University of Missouri
/players/e/ennisja01.html,James Ennis,2015,2016,F,6-7,210,July 1  1990,California State University  Long Beach
/players/e/ennisty01.html,Tyler Ennis,2015,2016,G,6-3,194,August 24  1994,Syracuse University
/players/e/evansje01.html,Jeremy Evans,2011,2016,F,6-9,196,October 24  1987,Western Kentucky University
/players/e/evansre01.html,Reggie Evans,2003,2015,F,6-8,245,May 18  1980,University of Iowa
/players/e/evansty01.html,Tyreke Evans,2010,2016,G-F,6-6,220,September 19  1989,University of Memphis
/players/e/exumda01.html,Dante Exum,2015,2015,G,6-6,190,July 13  1995,
/players/e/ezelife01.html,Festus Ezeli,2013,2016,C,6-11,255,October 21  1989,Vanderbilt University
/players/f/farieke01.html,Kenneth Faried,2012,2016,F,6-8,228,November 19  1989,Morehead State University
/players/f/farmajo01.html,Jordan Farmar,2007,2015,G,6-2,180,November 30  1986,University of California  Los Angeles
/players/f/favervi01.html,Vitor Faverani,2014,2014,C,6-11,260,May 5  1988,
/players/f/favorde01.html,Derrick Favors,2011,2016,F-C,6-10,265,July 15  1991,Georgia Institute of Technology
/players/f/feliccr01.html,Cristiano Felicio,2016,2016,F-C,6-10,275,July 7  1992,
/players/f/felixca01.html,Carrick Felix,2014,2014,G,6-6,201,August 17  1990,Arizona State University
/players/f/feltora01.html,Raymond Felton,2006,2016,G,6-1,205,June 26  1984,University of North Carolina
/players/f/fesenky01.html,Kyrylo Fesenko,2008,2012,C,7-1,288,December 24  1986,
/players/f/fieldla01.html,Landry Fields,2011,2015,F,6-7,210,June 27  1988,Stanford University
/players/f/forbega01.html,Gary Forbes,2011,2012,F,6-7,220,February 25  1985,University of Massachusetts Amherst
/players/f/fournev01.html,Evan Fournier,2013,2016,G-F,6-7,205,October 29  1992,
/players/f/foyera01.html,Randy Foye,2007,2016,G,6-4,213,September 24  1983,Villanova University
/players/f/frankja01.html,Jamaal Franklin,2014,2015,G,6-5,191,July 21  1991,San Diego State University
/players/f/fraziti01.html,Tim Frazier,2015,2016,G,6-1,170,November 1  1990,Pennsylvania State University
/players/f/fredeji01.html,Jimmer Fredette,2012,2016,G,6-2,195,February 25  1989,Brigham Young University
/players/f/freeljo01.html,Joel Freeland,2013,2015,F-C,6-10,250,February 7  1987,
/players/f/fryech01.html,Channing Frye,2006,2016,F-C,6-11,255,May 17  1983,University of Arizona
/players/g/gadzuda01.html,Dan Gadzuric,2003,2012,C,6-11,240,February 2  1978,University of California  Los Angeles
/players/g/gallida01.html,Danilo Gallinari,2009,2016,F,6-10,225,August 8  1988,
/players/g/gallola01.html,Langston Galloway,2015,2016,G,6-2,200,December 9  1991,Saint Joseph's University
/players/g/garcifr01.html,Francisco Garcia,2006,2015,F-G,6-7,195,December 31  1981,University of Louisville
/players/g/garneke01.html,Kevin Garnett,1996,2016,F,6-11,240,May 19  1976,
/players/g/garredi02.html,Diante Garrett,2013,2014,G,6-4,190,November 3  1988,Iowa State University
/players/g/gasolma01.html,Marc Gasol,2009,2016,C,7-1,255,January 29  1985,
/players/g/gasolpa01.html,Pau Gasol,2002,2016,F-C,7-0,250,July 6  1980,
/players/g/gayru01.html,Rudy Gay,2007,2016,F,6-8,230,August 17  1986,University of Connecticut
/players/g/geeal01.html,Alonzo Gee,2010,2016,G,6-6,225,May 29  1987,University of Alabama
/players/g/gelabmi01.html,Mickael Gelabale,2007,2013,F,6-7,215,May 22  1983,
/players/g/georgpa01.html,Paul George,2011,2016,F,6-9,220,May 2  1990,California State University  Fresno
/players/g/gibsota01.html,Taj Gibson,2010,2016,F,6-9,225,June 24  1985,University of Southern California
/players/g/ginobma01.html,Manu Ginobili,2003,2016,G,6-6,205,July 28  1977,
/players/g/gladnmi01.html,Mickell Gladness,2012,2012,C,6-11,220,July 26  1986,Alabama A&M University
/players/g/goberru01.html,Rudy Gobert,2014,2016,C,7-1,245,June 26  1992,
/players/g/gomesry01.html,Ryan Gomes,2006,2014,F,6-7,250,September 1  1982,Providence College
